,idListaCobro,idEmisora,TipoEnvio,BancoSimplificado,idCredito,consecutivoCobro,idBanco,montoExigible,montoCobrar,montoCobrado,fechaCobroBanco,idRespuestaBanco,CobroExitoso
494,156003,6,TRADICIONAL,BBVA,590933,41402962,21,381.28,381.28,0.0,,4.0,False
543,156003,6,TRADICIONAL,BBVA,615722,41403011,21,834.5,834.5,0.0,,4.0,False
548,156003,6,TRADICIONAL,BBVA,617132,41403016,21,615.38,615.38,0.0,,4.0,False
586,156003,6,TRADICIONAL,BBVA,634284,41403054,127,769.25,769.25,0.0,,4.0,False
600,156003,6,TRADICIONAL,BBVA,641132,41403068,127,309.62,309.62,0.0,,4.0,False
614,156003,6,TRADICIONAL,BBVA,644327,41403082,127,545.22,545.22,0.0,,4.0,False
657,156003,6,TRADICIONAL,BBVA,659038,41403125,127,476.63,476.63,0.0,,4.0,False
773,156003,6,TRADICIONAL,BBVA,706739,41403241,30,56.84,56.84,0.0,,4.0,False
788,156003,6,TRADICIONAL,BBVA,718501,41403256,21,150.0,150.0,0.0,,4.0,False
791,156003,6,TRADICIONAL,BBVA,719156,41403259,127,498.14,498.14,0.0,,4.0,False
792,156003,6,TRADICIONAL,BBVA,719202,41403260,21,250.35,250.35,0.0,,4.0,False
793,156003,6,TRADICIONAL,BBVA,721377,41403261,21,315.72,315.72,0.0,,4.0,False
1225,156044,19,MATUTINO,BBVA,705015,41413072,12,499.99,499.99,0.0,,4.0,False
1515,156045,19,MATUTINO,BBVA,481077,41413689,12,157.31,157.31,157.31,06/01/2025,0.0,True
1569,156045,19,MATUTINO,BBVA,495079,41413983,12,546.48,546.48,0.0,,4.0,False
1896,156045,19,MATUTINO,BBVA,643566,41414739,12,131.78,131.78,131.78,06/01/2025,0.0,True
2054,156045,19,MATUTINO,BBVA,658988,41414208,12,786.25,786.25,786.25,06/01/2025,0.0,True
6546,156259,1,TRADICIONAL,BANAMEX,646124,41450387,2,1272.25,1272.25,1272.25,10/01/2025,0.0,True
6550,156259,1,TRADICIONAL,BANAMEX,647106,41450161,2,1908.38,1908.38,1908.38,10/01/2025,0.0,True
6791,156259,1,TRADICIONAL,BANAMEX,686549,41450284,2,1353.8,1353.8,1353.8,10/01/2025,0.0,True
7329,156260,12,TRADICIONAL,BANORTE,645717,41451924,72,1543.67,1543.67,1543.67,10/01/2025,,True
7331,156260,12,TRADICIONAL,BANORTE,645857,41451756,72,636.13,636.13,636.13,10/01/2025,,True
7332,156260,12,TRADICIONAL,BANORTE,646272,41451934,72,1272.25,1272.25,1272.25,10/01/2025,0.0,True
7337,156260,12,TRADICIONAL,BANORTE,647196,41451777,72,349.34,349.34,349.34,14/01/2025,,True
7340,156260,12,TRADICIONAL,BANORTE,647350,41451089,72,1229.12,1229.12,1229.12,15/01/2025,,True
7346,156260,12,TRADICIONAL,BANORTE,648429,41451487,72,718.27,718.27,718.27,15/01/2025,,True
7348,156260,12,TRADICIONAL,BANORTE,648674,41451084,72,1653.93,1653.93,1653.93,14/01/2025,,True
7349,156260,12,TRADICIONAL,BANORTE,648697,41450989,72,1272.25,1272.25,1272.25,14/01/2025,,True
7568,156260,12,TRADICIONAL,BANORTE,682436,41451939,72,860.07,860.07,860.07,10/01/2025,0.0,True
7775,156260,12,TRADICIONAL,BANORTE,691201,41451630,72,676.5,676.5,676.5,14/01/2025,,True
7785,156260,12,TRADICIONAL,BANORTE,691884,41451516,72,436.52,436.52,436.52,10/01/2025,0.0,True
8092,156260,12,TRADICIONAL,BANORTE,709553,41450772,72,694.79,694.79,0.0,,3.0,False
8253,156260,12,TRADICIONAL,BANORTE,717700,41451102,72,939.46,939.46,0.0,,26.0,False
8710,156260,12,TRADICIONAL,BANORTE,736615,41450587,72,827.01,827.01,0.0,,26.0,False
8860,156262,9,TRADICIONAL,SANTANDER,645853,41453855,14,290.5,290.5,290.5,15/01/2025,0.0,True
9029,156262,9,TRADICIONAL,SANTANDER,688874,41453637,14,1208.64,1208.64,0.0,,2.0,False
9359,156262,9,TRADICIONAL,SANTANDER,720554,41453651,14,1238.75,1238.75,0.0,,8.0,False
9646,156262,9,TRADICIONAL,SANTANDER,739679,41453394,14,1211.99,1211.99,0.0,,8.0,False
12804,156266,21,EN LINEA,BBVA,719714,41459809,12,602.89,602.89,0.0,,3.0,False
13164,156267,9,TRADICIONAL,SANTANDER,638696,41462385,14,9.96,9.96,9.96,15/01/2025,0.0,True
13182,156267,9,TRADICIONAL,SANTANDER,642734,41463786,14,42.74,42.74,42.74,13/01/2025,0.0,True
15335,156269,13,TRADICIONAL,BANORTE,504397,41464753,72,422.45,422.45,0.0,,4.0,False
15973,156273,1,TRADICIONAL,BANAMEX,663440,41465287,2,1234.0,1234.0,1234.0,10/01/2025,0.0,True
16000,156273,1,TRADICIONAL,BANAMEX,725372,41465263,2,157.83,157.83,157.83,10/01/2025,0.0,True
16001,156273,1,TRADICIONAL,BANAMEX,726260,41465292,2,351.53,351.53,0.0,,2.0,False
16419,156275,21,EN LINEA,BBVA,628581,41467015,12,2099.98,2099.98,0.0,,3.0,False
16471,156275,21,EN LINEA,BBVA,639670,41467096,12,406.03,406.03,406.03,10/01/2025,0.0,True
16489,156275,21,EN LINEA,BBVA,643876,41466270,12,695.46,695.46,695.46,10/01/2025,0.0,True
16512,156275,21,EN LINEA,BBVA,649205,41466178,12,122.22,122.22,122.22,10/01/2025,0.0,True
16701,156275,21,EN LINEA,BBVA,680724,41466897,12,941.17,941.17,941.17,10/01/2025,0.0,True
16754,156275,21,EN LINEA,BBVA,689867,41467013,12,649.59,649.59,0.0,,3.0,False
16770,156275,21,EN LINEA,BBVA,692099,41467070,12,996.27,996.27,996.27,10/01/2025,0.0,True
16793,156275,21,EN LINEA,BBVA,695236,41467059,12,120.64,120.64,120.64,10/01/2025,0.0,True
17514,156277,2,CUENTA,BANAMEX,491597,41467590,2,777.04,777.04,0.0,,2.0,False
17957,156277,2,CUENTA,BANAMEX,658142,41468305,2,169.74,169.74,169.74,10/01/2025,0.0,True
18046,156279,10,TRADICIONAL,SANTANDER,48619,41468713,14,458.82,458.82,0.0,,4.0,False
18047,156279,10,TRADICIONAL,SANTANDER,69920,41468868,14,2010.85,2010.85,0.0,,4.0,False
